Epoch	TrainError	ETrainCCR	TestCCR
1 0.424166 25 25
2 0.350572 25 25
3 0.348032 100 100
4 0.34771 100 100
5 0.347468 100 100
6 0.347278 100 100
7 0.347128 100 100
8 0.347011 100 100
9 0.346918 100 100
10 0.346844 100 100
11 0.346787 100 100
12 0.346741 100 100
13 0.346706 100 100
14 0.346678 100 100
15 0.346656 100 100
16 0.346638 100 100
17 0.346624 100 100
18 0.346614 100 100
19 0.346605 100 100
20 0.346598 100 100
21 0.346593 100 100
22 0.346589 100 100
23 0.346586 100 100
24 0.346583 100 100
25 0.346581 100 100
26 0.346579 100 100
27 0.346578 100 100
28 0.346577 100 100
29 0.346576 100 100
30 0.346576 100 100
31 0.346575 100 100
32 0.346575 100 100
33 0.346575 100 100
34 0.346574 100 100
35 0.346574 100 100
36 0.346574 100 100
37 0.346574 100 100
38 0.346574 100 100
39 0.346574 100 100
40 0.346574 100 100
41 0.346574 100 100
42 0.346574 100 100
43 0.346574 100 100
44 0.346574 100 100
45 0.346574 100 100
46 0.346574 100 100
47 0.346574 100 100
48 0.346574 100 100
49 0.346574 100 100
50 0.346574 100 100
51 0.346574 100 100
52 0.346574 100 100
53 0.346574 100 100
54 0.346574 100 100
55 0.346574 100 100
56 0.346574 100 100
57 0.346574 100 100
58 0.346574 100 100
59 0.346574 100 100
60 0.346574 100 100
61 0.346574 100 100
62 0.346574 100 100
63 0.346574 100 100
64 0.346574 100 100
65 0.346574 100 100
66 0.346574 100 100
67 0.346574 100 100
68 0.346574 100 100
69 0.346574 100 100
70 0.346574 100 100
71 0.346574 100 100
72 0.346574 100 100
73 0.346574 100 100
74 0.346574 100 100
75 0.346574 100 100
76 0.346574 100 100
77 0.346574 100 100
78 0.346574 100 100
79 0.346574 100 100
80 0.346574 100 100
81 0.346574 100 100
82 0.346574 100 100
83 0.346574 100 100
84 0.346574 100 100
85 0.346574 100 100
86 0.346574 100 100
87 0.346574 100 100
88 0.346574 100 100
89 0.346574 100 100
90 0.346574 100 100
91 0.346574 100 100
92 0.346574 100 100
93 0.346574 100 100
94 0.346574 100 100
95 0.346574 100 100
96 0.346574 100 100
97 0.346574 100 100
98 0.346574 100 100
99 0.346574 100 100
100 0.346574 100 100
101 0.346574 100 100
102 0.346574 100 100
103 0.346574 100 100
104 0.346574 100 100
105 0.346574 100 100
106 0.346574 100 100
107 0.346574 100 100
108 0.346574 100 100
109 0.346574 100 100
110 0.346574 100 100
111 0.346574 100 100
112 0.346574 100 100
113 0.346574 100 100
114 0.346574 100 100
115 0.346574 100 100
116 0.346574 100 100
117 0.346574 100 100
118 0.346574 100 100
119 0.346574 100 100
120 0.346574 100 100
121 0.346574 100 100
122 0.346574 100 100
123 0.346574 100 100
124 0.346574 100 100
125 0.346574 100 100
126 0.346574 100 100
127 0.346574 100 100
128 0.346574 100 100
129 0.346574 100 100
130 0.346574 100 100
131 0.346574 100 100
132 0.346574 100 100
133 0.346574 100 100
134 0.346574 100 100
135 0.346574 100 100
136 0.346574 100 100
137 0.346574 100 100
138 0.346574 100 100
139 0.346574 100 100
140 0.346574 100 100
141 0.346574 100 100
142 0.346574 100 100
143 0.346574 100 100
144 0.346574 100 100
145 0.346574 100 100
146 0.346574 100 100
147 0.346574 100 100
148 0.346574 100 100
149 0.346574 100 100
150 0.346574 100 100
151 0.346574 100 100
152 0.346574 100 100
153 0.346574 100 100
154 0.346574 100 100
155 0.346574 100 100
156 0.346574 100 100
157 0.346574 100 100
158 0.346574 100 100
159 0.346574 100 100
160 0.346574 100 100
161 0.346574 100 100
162 0.346574 100 100
163 0.346574 100 100
164 0.346574 100 100
165 0.346574 100 100
166 0.346574 100 100
167 0.346574 100 100
168 0.346574 100 100
169 0.346574 100 100
170 0.346574 100 100
171 0.346574 100 100
172 0.346574 100 100
173 0.346574 100 100
174 0.346574 100 100
175 0.346574 100 100
176 0.346574 100 100
177 0.346574 100 100
178 0.346574 100 100
179 0.346574 100 100
180 0.346574 100 100
181 0.346574 100 100
182 0.346574 100 100
183 0.346574 100 100
184 0.346574 100 100
185 0.346574 100 100
186 0.346574 100 100
187 0.346574 100 100
188 0.346574 100 100
189 0.346574 100 100
190 0.346574 100 100
191 0.346574 100 100
192 0.346574 100 100
193 0.346574 100 100
194 0.346574 100 100
195 0.346574 100 100
196 0.346574 100 100
197 0.346574 100 100
198 0.346574 100 100
199 0.346574 100 100
200 0.346574 100 100
201 0.346574 100 100
202 0.346574 100 100
203 0.346574 100 100
204 0.346574 100 100
205 0.346574 100 100
206 0.346574 100 100
207 0.346574 100 100
208 0.346574 100 100
209 0.346574 100 100
210 0.346574 100 100
211 0.346574 100 100
212 0.346574 100 100
213 0.346574 100 100
214 0.346574 100 100
215 0.346574 100 100
216 0.346574 100 100
217 0.346574 100 100
218 0.346574 100 100
219 0.346574 100 100
220 0.346574 100 100
221 0.346574 100 100
222 0.346574 100 100
223 0.346574 100 100
224 0.346574 100 100
225 0.346574 100 100
226 0.346574 100 100
227 0.346574 100 100
228 0.346574 100 100
229 0.346574 100 100
230 0.346574 100 100
231 0.346574 100 100
232 0.346574 100 100
233 0.346574 100 100
234 0.346574 100 100
235 0.346574 100 100
236 0.346574 100 100
237 0.346574 100 100
238 0.346574 100 100
239 0.346574 100 100
240 0.346574 100 100
241 0.346574 100 100
242 0.346574 100 100
243 0.346574 100 100
244 0.346574 100 100
245 0.346574 100 100
246 0.346574 100 100
247 0.346574 100 100
248 0.346574 100 100
249 0.346574 100 100
